samplename,description,batch,phenotype
14_140666GP,14_140666GP,CCS_14,tumor
S00108041,S00108041,CCS_14,normal
14_140666GP,14_140666GP,CCS_15,tumor
S00108041,S00108041,CCS_15,normal
