samplename,description,phenotype,batch
HC_merged,WT,normal,A2-1;A2-2;A6-1;A6-2;C1-1;C1-2;C12-1;C12-2;F7-1;F7-2;F10-1;F10-2;H2-1;H2-2;A5A;A5B;A6A;A6B;B7A;B7B;B8A;B8B;C7A;C7B;C8A;C8B;D6B
A2-1,MLH1-1,tumor,A2-1
A2-2,MLH1-2,tumor,A2-2
A6-1,MLH1-3,tumor,A6-1
A6-2,MLH1-4,tumor,A6-2
C1-1,MSH6-1,tumor,C1-1
C1-2,MSH6-2,tumor,C1-2
C12-1,MSH6-3,tumor,C12-1
C12-2,MSH6-4,tumor,C12-2
F7-1,MSH3-1,tumor,F7-1
F7-2,MSH3-2,tumor,F7-2
F10-1,MSH3-3,tumor,F10-1
F10-2,MSH3-4,tumor,F10-2
H2-1,MBD4-1,tumor,H2-1
H2-2,MBD4-2,tumor,H2-2
A5A,MSH6-2nd-1,tumor,A5A
A5B,MSH6-2nd-2,tumor,A5B
A6A,MSH6-2nd-3,tumor,A6A
A6B,MSH6-2nd-4,tumor,A6B
B7A,MSH3-2nd-1,tumor,B7A
B7B,MSH3-2nd-2,tumor,B7B
B8A,MSH3-2nd-3,tumor,B8A
B8B,MSH3-2nd-4,tumor,B8B
C7A,MBD4-2nd-1,tumor,C7A
C7B,MBD4-2nd-2,tumor,C7B
C8A,MBD4-2nd-3,tumor,C8A
C8B,MBD4-2nd-4,tumor,C8B
D6B,MSH6-2nd-sim,tumor,D6B
