samplename,description,phenotype,batch
HC_merged,a,normal,A2-1;A2-2;A6-1;A6-2;C1-1;C1-2;C12-1;C12-2;F7-1;F7-2;F10-1;F10-2;H2-1;H2-2;A5A;A5B;A6A;A6B;B7A;B7B;B8A;B8B;C7A;C7B;C8A;C8B;D6B
A2-1,b,tumor,A2-1
A2-2,c,tumor,A2-2
A6-1,d,tumor,A6-1
A6-2,e,tumor,A6-2
C1-1,f,tumor,C1-1
C1-2,g,tumor,C1-2
C12-1,h,tumor,C12-1
C12-2,i,tumor,C12-2
F7-1,j,tumor,F7-1
F7-2,k,tumor,F7-2
F10-1,l,tumor,F10-1
F10-2,m,tumor,F10-2
H2-1,n,tumor,H2-1
H2-2,o,tumor,H2-2
A5A,p,tumor,A5A
A5B,r,tumor,A5B
A6A,t,tumor,A6A
A6B,s,tumor,A6B
B7A,u,tumor,B7A
B7B,w,tumor,B7B
B8A,v,tumor,B8A
B8B,x,tumor,B8B
C7A,z,tumor,C7A
C7B,ab,tumor,C7B
C8A,ac,tumor,C8A
C8B,ad,tumor,C8B
D6B,ae,tumor,D6B
