samplename,description,batch,phenotype
/SAN/colcc/MMRd_HCEC_genomes/fastq_files/HC1_1.fastq.gz,HC,HC,normal
/SAN/colcc/MMRd_HCEC_genomes/fastq_files/HC1_2.fastq.gz,HC,HC,normal
/SAN/colcc/MMRd_HCEC_genomes/fastq_files/HC2_1.fastq.gz,HC,HC,normal
/SAN/colcc/MMRd_HCEC_genomes/fastq_files/HC2_2.fastq.gz,HC,HC,normal
